seed,model,quality_bin,quality_lower,quality_upper,n,rmse,mae,bias
44,lasso,Q1,0.30000001192092896,0.8999999761581421,4469,0.5950143337249756,0.46019864082336426,0.11365003138780594
44,spar,Q1,0.30000001192092896,0.8999999761581421,4469,0.4604257345199585,0.3494720757007599,-0.05353781208395958
44,persistence,Q2,0.8999999761581421,1.399999976158142,5247,1.1842166185379028,0.89881831407547,0.2414141297340393
44,linear_trend,Q2,0.8999999761581421,1.399999976158142,5247,1.6669479608535767,1.2337749004364014,0.26339229941368103
44,dlinear,Q2,0.8999999761581421,1.399999976158142,5247,0.9689397811889648,0.7231866717338562,0.08421012759208679
44,lasso,Q2,0.8999999761581421,1.399999976158142,5247,1.0133464336395264,0.7696981430053711,0.08138784766197205
44,spar,Q2,0.8999999761581421,1.399999976158142,5247,0.7562901973724365,0.5724931359291077,-0.03835248574614525
44,persistence,Q3,1.399999976158142,2.0999999046325684,5094,1.9098756313323975,1.397016167640686,0.17302709817886353
44,linear_trend,Q3,1.399999976158142,2.0999999046325684,5094,2.363027334213257,1.7916103601455688,0.34352535009384155
44,dlinear,Q3,1.399999976158142,2.0999999046325684,5094,1.5894840955734253,1.1576414108276367,0.07321498543024063
44,lasso,Q3,1.399999976158142,2.0999999046325684,5094,1.6356638669967651,1.211957573890686,0.05984250828623772
44,spar,Q3,1.399999976158142,2.0999999046325684,5094,1.2880882024765015,0.9668921828269958,-0.023231593891978264
44,persistence,Q4,2.0999999046325684,4.0,4946,3.0762712955474854,2.2134249210357666,0.06316214799880981
44,linear_trend,Q4,2.0999999046325684,4.0,4946,3.494506359100342,2.694143533706665,0.33391693234443665
44,dlinear,Q4,2.0999999046325684,4.0,4946,2.5276732444763184,1.8357657194137573,0.009841728955507278
44,lasso,Q4,2.0999999046325684,4.0,4946,2.6223251819610596,1.943593144416809,0.012268418446183205
44,spar,Q4,2.0999999046325684,4.0,4946,2.1090009212493896,1.6007170677185059,-0.03105424903333187
45,persistence,Q1,0.30000001192092896,0.8999999761581421,3896,0.6927832961082458,0.5144764184951782,0.14353182911872864
45,linear_trend,Q1,0.30000001192092896,0.8999999761581421,3896,1.3602538108825684,0.8325863480567932,0.12432486563920975
45,dlinear,Q1,0.30000001192092896,0.8999999761581421,3896,0.5447043180465698,0.40461450815200806,-0.013566343113780022
45,lasso,Q1,0.30000001192092896,0.8999999761581421,3896,0.5875222682952881,0.437576025724411,0.005592457950115204
45,spar,Q1,0.30000001192092896,0.8999999761581421,3896,0.4770892560482025,0.35753926634788513,-0.0954260379076004
45,persistence,Q2,0.8999999761581421,1.399999976158142,5030,1.2323248386383057,0.9244930744171143,0.07073558121919632
45,linear_trend,Q2,0.8999999761581421,1.399999976158142,5030,1.8089162111282349,1.3615427017211914,0.21169428527355194
45,dlinear,Q2,0.8999999761581421,1.399999976158142,5030,1.0494143962860107,0.7875322103500366,-0.013968847692012787
45,lasso,Q2,0.8999999761581421,1.399999976158142,5030,1.1023157835006714,0.8383628129959106,0.004368309397250414
45,spar,Q2,0.8999999761581421,1.399999976158142,5030,0.8307536244392395,0.6357701420783997,-0.11319896578788757
45,persistence,Q3,1.399999976158142,2.0,4492,1.8488739728927612,1.341896653175354,0.047640249133110046
45,linear_trend,Q3,1.399999976158142,2.0,4492,2.5309572219848633,1.9340572357177734,0.44714340567588806
45,dlinear,Q3,1.399999976158142,2.0,4492,1.5743062496185303,1.1399786472320557,0.005666547454893589
45,lasso,Q3,1.399999976158142,2.0,4492,1.6678634881973267,1.2306474447250366,0.014695294201374054
45,spar,Q3,1.399999976158142,2.0,4492,1.2705129384994507,0.9494692087173462,-0.14164651930332184
45,persistence,Q4,2.0,3.9000000953674316,4996,3.0534698963165283,2.150480270385742,-0.026901526376605034
45,linear_trend,Q4,2.0,3.9000000953674316,4996,3.4843039512634277,2.6921231746673584,0.35643303394317627
45,dlinear,Q4,2.0,3.9000000953674316,4996,2.521976947784424,1.8066140413284302,-0.0707809254527092
45,lasso,Q4,2.0,3.9000000953674316,4996,2.650486946105957,1.944656491279602,-0.05196845531463623
45,spar,Q4,2.0,3.9000000953674316,4996,2.0628676414489746,1.5527762174606323,-0.16017843782901764
46,persistence,Q1,0.20000000298023224,0.800000011920929,3999,0.5543143153190613,0.4145786464214325,0.0138284582644701
46,linear_trend,Q1,0.20000000298023224,0.800000011920929,3999,0.7343004941940308,0.5598872900009155,-0.21816250681877136
46,dlinear,Q1,0.20000000298023224,0.800000011920929,3999,0.44428879022598267,0.336069256067276,-0.06953167915344238
46,lasso,Q1,0.20000000298023224,0.800000011920929,3999,0.47592970728874207,0.3606034517288208,-0.08653683215379715
46,spar,Q1,0.20000000298023224,0.800000011920929,3999,0.39066141843795776,0.30518922209739685,0.005441716872155666
46,persistence,Q2,0.800000011920929,1.2999999523162842,4457,1.0233728885650635,0.7722683548927307,-0.025936726480722427
46,linear_trend,Q2,0.800000011920929,1.2999999523162842,4457,1.493654489517212,1.1314332485198975,-0.0421888642013073
46,dlinear,Q2,0.800000011920929,1.2999999523162842,4457,0.840582013130188,0.6354395151138306,-0.09787067770957947
46,lasso,Q2,0.800000011920929,1.2999999523162842,4457,0.9145349860191345,0.7016782164573669,-0.10803083330392838
46,spar,Q2,0.800000011920929,1.2999999523162842,4457,0.645584225654602,0.5016708970069885,0.02789541520178318
46,persistence,Q3,1.2999999523162842,2.0,5051,1.6663408279418945,1.2145119905471802,-0.033953677862882614
46,linear_trend,Q3,1.2999999523162842,2.0,5051,2.2877159118652344,1.7426944971084595,0.12362203747034073
46,dlinear,Q3,1.2999999523162842,2.0,5051,1.3732242584228516,0.9901866316795349,-0.0801648199558258
46,lasso,Q3,1.2999999523162842,2.0,5051,1.4911681413650513,1.1028207540512085,-0.08934341371059418
46,spar,Q3,1.2999999523162842,2.0,5051,1.0481384992599487,0.788472592830658,0.06860554218292236
46,persistence,Q4,2.0,4.300000190734863,5070,2.793428897857666,1.964358925819397,-0.08479288965463638
46,linear_trend,Q4,2.0,4.300000190734863,5070,3.4462242126464844,2.6334269046783447,0.06710582971572876
46,dlinear,Q4,2.0,4.300000190734863,5070,2.2797741889953613,1.6522002220153809,-0.08618118613958359
46,lasso,Q4,2.0,4.300000190734863,5070,2.473100185394287,1.8231943845748901,-0.11589860171079636
46,spar,Q4,2.0,4.300000190734863,5070,1.8541380167007446,1.3960864543914795,0.0478057786822319
