run_dir,model,reported_rmse,reported_mse,rmse_squared,recomputed_rmse,recomputed_mse,rmse_mse_abs_diff,mask_valid_count,prediction_hash,target_hash,split_hash,config_hash,metrics_hash,prediction_array_hash,status
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E5_split_comparison\grid_256\spatial_tile\cnn_tcn\linear\split_seed_45,cnn_tcn,6.807307513062163,46.33943557739258,46.33943557739257,6.807307513062163,46.33943557739258,7.105427357601002e-15,8483,2f59e4611efe43ee18eea2b93ea2bf1fe49ed5297d8d1a14f75a146afce09bec,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,9f4427996aac0677942e3dcb92a43587024aa3e8af163de64f4941b1377e52b0,26ce402861503955497ebabdd95e743915097d8fde8ba480235f4361e058bc18,d01c30c53253397d7a1513602a51ac9eee1093128a249bc334af19c0aa8b9d8d,8b938306c323bddc474f97c9ba795c3590b59d84fc9d62e59c31fc9589992b19,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E5_split_comparison\grid_256\spatial_tile\cnn_tcn\linear\split_seed_46,cnn_tcn,6.621993624320917,43.850799560546875,43.85079956054688,6.621993624320917,43.850799560546875,7.105427357601002e-15,7806,27cf74cca0cf151b377a0a2d49e8789c582dfac23a3421886285f596a2fd945f,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,b147155d168780531b89106b8cff37420d8650cce600f3ae472a5a857fa46329,52b7ebf552b9f07711cdf26f51ea4304893f382ddcfb5a0f86f09ac9c24ca006,be4eb996d457bcc22cbf78baf08b1ad6401f521ae6f45713dd986a6f2f50c846,3b85e7802d0231d57bfdb3f17d6fab747164adc394c8ec646849f80a76175efb,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E5_split_comparison\grid_256\spatial_tile\cnn_lstm_maskaware\linear\split_seed_42,cnn_lstm_maskaware,7.524633009570031,56.62010192871094,56.62010192871094,7.524633009570031,56.62010192871094,0.0,8128,12c60a19aa7a076784bea304cf7cdd1d37a7bc3ba5e1091a7cf00431abb983c8,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,aa87bd7754c73033f6fbca318704cb344d8f8307fb9362cf868f12dc9d85a42e,f88f85ae3f25d101ff972aa35c484fe2fb2a644bc331a706539b553929c61979,f0103e2e8b65c5073d24d163c4acf5757871026a8552b69d67ae6203a458e189,ab667025d07708e6ca08c02add6cf8167b5efdd64078b02e966381942a3f678b,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E5_split_comparison\grid_256\spatial_tile\cnn_lstm_maskaware\linear\split_seed_43,cnn_lstm_maskaware,8.105707357180735,65.7024917602539,65.7024917602539,8.105707357180735,65.7024917602539,0.0,7801,1cbd3f716e022f493c27af140ce18b518852e5248dbeb8f4f5bd438bc958f69c,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,b323933f7c125c832058aa2565acec87c0366ed7ad0b10fe8efeb214892db378,e67004752ed74bc39995b5eb14dc48083ece39e35a68aa052d20c22dfdd93fc8,c2bb68bb5e26672151ba54405e85e6802018784294099d07d23dd8408998686f,b4988d3b40cd31ddec218e63f044193ae2b03a55398e891c62c5878b36ef0dfa,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E5_split_comparison\grid_256\spatial_tile\cnn_lstm_maskaware\linear\split_seed_44,cnn_lstm_maskaware,7.63848984417793,58.346527099609375,58.34652709960938,7.63848984417793,58.346527099609375,7.105427357601002e-15,8155,4d5d8abc50d6088d5ef74d23ec6318688aa34ad2df098a73948d8cf36dd8ba9e,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,dc4e472d4ff09f561e1361da6f2d4a7c3bb5470862a13b149e680a480bc8139b,64fb40a5cacc6fc75e2d2f6f2b3103e086d9cbd16120652b2005022ae7f370a4,5e4d0aa7be567dab4747722d7e5016e6295f15b1a5ddc30456df7754e083ac1a,eee6d8c5315017911fb613f0158c5292eeb7154625de822e96ca68c61a6266ff,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E5_split_comparison\grid_256\spatial_tile\cnn_lstm_maskaware\linear\split_seed_45,cnn_lstm_maskaware,6.818299231240756,46.48920440673828,46.48920440673828,6.818299231240756,46.48920440673828,0.0,8483,62e7e114ae7e553274fa3720f4f9b10da26eb61babd42d45c162b2b215755608,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,9f4427996aac0677942e3dcb92a43587024aa3e8af163de64f4941b1377e52b0,26ce402861503955497ebabdd95e743915097d8fde8ba480235f4361e058bc18,58998699e974078e5f81ec4a4644bbb8eb3e3d6878e07032bfc13fa9c2d26065,d3eae352348885dee1c4451c2c41689dbf3ce0d26771f6c9c1088f75bf32ad3e,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E5_split_comparison\grid_256\spatial_tile\cnn_lstm_maskaware\linear\split_seed_46,cnn_lstm_maskaware,6.630424438055211,43.962528228759766,43.962528228759766,6.630424438055211,43.962528228759766,0.0,7806,3516210a68f78d290b4156fc755bb2ea63fb93371722c836c413611ee13e2640,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,b147155d168780531b89106b8cff37420d8650cce600f3ae472a5a857fa46329,52b7ebf552b9f07711cdf26f51ea4304893f382ddcfb5a0f86f09ac9c24ca006,1afbdbe6779fe7b91365be7716436d25eac567b33058966545621d04f2a12e7b,10f92f8b1de0414fb0bbcfebed7f622d4f47cb2ba3b0a9b7c8ae8363df467483,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E5_split_comparison\grid_256\random_pixel\persistence\linear\split_seed_42,persistence,1.5754435202384838,2.482022285461426,2.482022285461426,1.5754435202384838,2.482022285461426,0.0,8015,9a48065e98df9bb0200b16e885c5e0f98373d92e1fd0195829a8f8628f9ede66,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,254d6b4608a8e5813ab9cc3404f3e46ac968ab22fefebb49c675be34c38a9cbb,349835299905cfba767575d0db53c09b44e46c97797d2111d23185eb06779243,13ce93a850469e2b428360e304df4b36ec94a17e50beb07fceba1672c0830be0,a9db0ff97d701daa22a743a40c61ffdab03dd1bab93e20b72d33bd62da347c05,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E5_split_comparison\grid_256\random_pixel\persistence\linear\split_seed_43,persistence,1.5898978109330155,2.5277750492095947,2.5277750492095947,1.5898978109330155,2.5277750492095947,0.0,8015,9a48065e98df9bb0200b16e885c5e0f98373d92e1fd0195829a8f8628f9ede66,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,00cfcdb36bafd689fc52e03bb8e4b39c2fa403d1c32a8e0ddef338fa699b692d,549000215d758c136cc6b3f7b75f9b51b14f5e26a781e8a5c73213343ba9422b,51f2cd55ece6b86d39184f468eec702d95e2d475712c6654163dfe10cca501a6,a9db0ff97d701daa22a743a40c61ffdab03dd1bab93e20b72d33bd62da347c05,pass
C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\cg_suite\E5_split_comparison\grid_256\random_pixel\persistence\linear\split_seed_44,persistence,1.573082828797624,2.4745895862579346,2.4745895862579346,1.573082828797624,2.4745895862579346,0.0,8015,9a48065e98df9bb0200b16e885c5e0f98373d92e1fd0195829a8f8628f9ede66,1e59eb26cb015535fc837f588d10b6c675b78ad23f6259fdd0725a814f18b221,4c5c632eb9e40372112f1f3e9088de924e7e8c5d196741afa4723e670622058c,7dc4a5092320297caf53ccb1b6d0ed5e0eb893e4e93534924d74e04b365b680c,b8e0ca3f5f080154730f75998f2fd921794d641ba83de22a23d40a1763947b8c,a9db0ff97d701daa22a743a40c61ffdab03dd1bab93e20b72d33bd62da347c05,pass
