seed,split_strategy,model,rmse,mae,mse,r2,leakage_free_rmse,inflation_optimism_pct
45,spatial_tile,persistence,1.5651321366318558,1.1003998517990112,2.449638605117798,0.9194453555214142,,
45,spatial_tile,lightgbm,1.461735471775595,1.043292760848999,2.1366705894470215,0.9297370904431408,,
45,spatial_tile,cnn_tcn,6.807307513062163,4.770812034606934,46.33943557739258,-0.523839739693448,,
45,spatial_tile,cnn_lstm_maskaware,6.818299231240756,4.780675411224365,46.48920440673828,-0.528764703798025,,
45,comparison,persistence,1.5788103636062016,nan,nan,nan,1.5651321366318558,-0.8739343250456291
45,comparison,lightgbm,1.6528758100969096,nan,nan,nan,1.461735471775595,-13.07626051443721
45,comparison,cnn_tcn,6.946800801940123,nan,nan,nan,6.807307513062163,-2.049169787177878
45,comparison,cnn_lstm_maskaware,6.946100625804998,nan,nan,nan,6.818299231240756,-1.8743881755536542
46,random_pixel,persistence,1.565192306330212,1.0863746404647827,2.449826955795288,0.9278535537598888,,
46,random_pixel,lightgbm,1.679900186956897,0.9764449596405029,2.8220646381378174,0.9168913020314121,,
46,random_pixel,cnn_tcn,6.724748355737785,4.3718366622924805,45.22224044799805,-0.33177726230245685,,
46,random_pixel,cnn_lstm_maskaware,6.731320566924965,4.378427028656006,45.31067657470703,-0.3343816604077061,,
46,spatial_tile,persistence,1.4870989250775883,1.058908462524414,2.211463212966919,0.9347789091450484,,
46,spatial_tile,lightgbm,1.766613641279015,1.0493448972702026,3.1209237575531006,0.9079568406570118,,
46,spatial_tile,cnn_tcn,6.621993624320917,4.357426166534424,43.850799560546875,-0.293260054438494,,
46,spatial_tile,cnn_lstm_maskaware,6.630424438055211,4.370077610015869,43.962528228759766,-0.2965551961323025,,
46,comparison,persistence,1.565192306330212,nan,nan,nan,1.4870989250775883,-5.251391143904511
46,comparison,lightgbm,1.679900186956897,nan,nan,nan,1.766613641279015,4.908456059432332
46,comparison,cnn_tcn,6.724748355737785,nan,nan,nan,6.621993624320917,-1.5517189723571347
46,comparison,cnn_lstm_maskaware,6.731320566924965,nan,nan,nan,6.630424438055211,-1.5217144816651853
