seed,model,support,grid_rows,grid_cols,valid_product_cells,n,rmse,mae,bias,p95_absolute_error,direct_native_rmse,support_penalty_mm,interpolation_seconds,inference_seconds,max_abs_difference_from_saved_direct_prediction,max_abs_difference_from_saved_grid,history_support_operation,missing_cell_operation
45,spar,256x256_idw_history,256,256,128757,18414,4.249744415283203,2.8219926357269287,-0.15164275467395782,8.934285163879395,1.3360460996627808,2.9136983156204224,0.9650242000025173,0.0811831999963033,,2.002716064453125e-05,IDW history reconstruction plus square-grid resampling,IDW_filled
46,lasso,256x256_idw_history,256,256,128757,18577,4.33431339263916,2.7507758140563965,-0.09636888653039932,9.166096687316895,1.5884687900543213,2.745844602584839,0.9650242000025173,0.012329400000453461,,6.866455078125e-05,IDW history reconstruction plus square-grid resampling,IDW_filled
46,spar,256x256_idw_history,256,256,128757,18577,4.301872730255127,2.7029831409454346,0.043036557734012604,9.125760078430176,1.1703824996948242,3.1314902305603027,0.9650242000025173,0.07929760000115493,,3.3855438232421875e-05,IDW history reconstruction plus square-grid resampling,IDW_filled
42,lasso,512x512_idw_history,512,512,128757,20236,2.419445276260376,1.42399263381958,-0.015370173379778862,4.848326683044434,1.2151602506637573,1.2042850255966187,3.8477359999851615,0.06071140000130981,,,IDW history reconstruction plus square-grid resampling,IDW_filled
42,spar,512x512_idw_history,512,512,128757,20236,2.3359711170196533,1.3604885339736938,0.007615013979375362,4.652346611022949,0.907241940498352,1.4287291765213013,3.8477359999851615,0.3322632999988855,,,IDW history reconstruction plus square-grid resampling,IDW_filled
43,lasso,512x512_idw_history,512,512,128757,19860,2.686838150024414,1.64111328125,-0.03243260830640793,5.3991379737854,1.3420703411102295,1.3447678089141846,3.8477359999851615,0.05145099999936065,,,IDW history reconstruction plus square-grid resampling,IDW_filled
43,spar,512x512_idw_history,512,512,128757,19860,2.62154221534729,1.5805689096450806,0.05098578706383705,5.219914436340332,1.1013094186782837,1.5202327966690063,3.8477359999851615,0.3243995000011637,,,IDW history reconstruction plus square-grid resampling,IDW_filled
44,lasso,512x512_idw_history,512,512,128757,19756,3.114992380142212,2.0418901443481445,0.07535497844219208,6.3203229904174805,1.6625996828079224,1.4523926973342896,3.8477359999851615,0.05305140000200481,,,IDW history reconstruction plus square-grid resampling,IDW_filled
44,spar,512x512_idw_history,512,512,128757,19756,3.0338571071624756,1.9684629440307617,-0.020448600873351097,6.094809532165527,1.319554090499878,1.7143030166625977,3.8477359999851615,0.3289738000166835,,,IDW history reconstruction plus square-grid resampling,IDW_filled
45,lasso,512x512_idw_history,512,512,128757,18414,3.4097931385040283,2.28275728225708,-0.001785352942533791,7.231234550476074,1.7290350198745728,1.6807581186294556,3.8477359999851615,0.05175319999761996,,,IDW history reconstruction plus square-grid resampling,IDW_filled
45,spar,512x512_idw_history,512,512,128757,18414,3.3280136585235596,2.2176544666290283,-0.11501874029636383,7.049590110778809,1.3360460996627808,1.9919675588607788,3.8477359999851615,0.3232010999963677,,,IDW history reconstruction plus square-grid resampling,IDW_filled
46,lasso,512x512_idw_history,512,512,128757,18577,3.457972288131714,2.201603651046753,-0.06359130144119263,7.222871780395508,1.5884687900543213,1.8695034980773926,3.8477359999851615,0.05291429999488173,,,IDW history reconstruction plus square-grid resampling,IDW_filled
46,spar,512x512_idw_history,512,512,128757,18577,3.3806493282318115,2.1198158264160156,0.08176581561565399,7.051468849182129,1.1703824996948242,2.2102668285369873,3.8477359999851615,0.32330820000424865,,,IDW history reconstruction plus square-grid resampling,IDW_filled
