seed,method,model,rmse,mae,mse,r2,runtime_seconds
45,nearest,lightgbm,1.5396366500742014,0.9122602939605713,2.370481014251709,0.897325393742868,3.775390199996764
45,nearest,cnn_lstm_maskaware,5.7245190814057825,3.944516897201538,32.770118713378906,-0.41939920776667994,3.2667440000222996
46,nearest,persistence,1.9782444729515065,1.2414171695709229,3.9134511947631836,0.9054850349880796,4.0700018871575594e-05
46,nearest,lasso,1.700804222838434,1.0690810680389404,2.892735004425049,0.9301366692173689,6.847836200002348
46,nearest,lightgbm,1.9230160930989701,1.0922951698303223,3.697990894317627,0.9106886867562863,3.7838928000128362
46,nearest,cnn_lstm_maskaware,7.382936506895055,4.684141635894775,54.50775146484375,-0.3164334564789695,3.4267914000083692
42,idw,persistence,1.0141549254912952,0.6895727515220642,1.0285102128982544,0.9180550252724683,6.839999696239829e-05
42,idw,lasso,0.9308790697070541,0.620307207107544,0.8665358424186707,0.9309600856623783,9.863231499999529
42,idw,lightgbm,0.9384566194795034,0.6108496189117432,0.8807008266448975,0.9298315085479008,4.64770810000482
42,idw,cnn_lstm_maskaware,4.606582882161106,3.2542173862457275,21.220605850219727,-0.6907193169162869,3.1632847000146285
43,idw,persistence,1.0968920671053566,0.764343798160553,1.203172206878662,0.9773811408479534,5.390000296756625e-05
43,idw,lasso,0.9921921557219601,0.6844209432601929,0.9844452738761902,0.9814930668814724,9.438944900000934
43,idw,lightgbm,2.2433944803022245,0.8378254771232605,5.032818794250488,0.9053862685785852,4.351378299994394
43,idw,cnn_lstm_maskaware,8.182459553712718,4.747124671936035,66.95264434814453,-0.25866633042969855,3.7517484000127297
44,idw,persistence,1.0681517013864101,0.7333815097808838,1.1409480571746826,0.9671860003005616,5.299999611452222e-05
44,idw,lasso,0.9954614464954897,0.6603814363479614,0.9909434914588928,0.9715001763190626,11.321184300002642
44,idw,lightgbm,1.2520891374568794,0.7237125039100647,1.5677272081375122,0.9549117085707253,6.59725220000837
44,idw,cnn_lstm_maskaware,6.881301766044077,4.522644519805908,47.35231399536133,-0.3618663996915197,3.7025387000176124
45,idw,persistence,0.7841755069987026,0.5438660383224487,0.6149312257766724,0.9058518546014236,3.880000440403819e-05
45,idw,lasso,0.7020622699268187,0.45349693298339844,0.49289143085479736,0.9245365792056968,7.992768099997193
45,idw,lightgbm,0.7007670176750201,0.4343869984149933,0.49107441306114197,0.924814770554881,4.1373466000077315
45,idw,cnn_lstm_maskaware,4.250542549956904,3.498594045639038,18.06711196899414,-1.7661387323020983,3.3135665000008885
46,idw,persistence,1.019983184152253,0.6739780902862549,1.0403656959533691,0.954225925432216,4.400001489557326e-05
46,idw,lasso,0.8965793467893759,0.5738849639892578,0.8038545250892639,0.9646319607238184,8.590181700012181
46,idw,lightgbm,1.2760353036319616,0.6243541836738586,1.6282660961151123,0.9283594495602685,4.481943199993111
46,idw,cnn_lstm_maskaware,6.042984531532398,4.190406799316406,36.517662048339844,-0.6067063204990242,4.1015247000032105
42,rbf,persistence,1.2852666279893807,0.9172676801681519,1.6519103050231934,0.8980898469250128,4.529999569058418e-05
42,rbf,lasso,1.1549101618717488,0.8278365135192871,1.333817481994629,0.9177137287713847,7.41284760000417
42,rbf,lightgbm,1.1839566823149166,0.8365505933761597,1.4017534255981445,0.9135226040058201,4.087658100004774
42,rbf,cnn_lstm_maskaware,5.082919724110635,3.659090280532837,25.83607292175293,-0.5938868323881659,3.3486937999841757
43,rbf,persistence,1.4838366686761253,1.1004949808120728,2.2017712593078613,0.9537167549475902,5.570001667365432e-05
43,rbf,lasso,1.2889111054266933,0.9374008178710938,1.6612918376922607,0.9650781251781965,9.894952100003138
43,rbf,lightgbm,2.214114652785332,1.0374094247817993,4.902303695678711,0.896949095887966,7.454455400002189
43,rbf,cnn_lstm_maskaware,7.914262051716647,4.955170631408691,62.63554382324219,-0.31665646907478084,2.8187448999960907
44,rbf,persistence,1.4089456788225736,1.0037097930908203,1.9851279258728027,0.9524950670381342,4.7999987145885825e-05
44,rbf,lasso,1.2726343348555766,0.9092330932617188,1.619598150253296,0.9612423462714055,12.100411499995971
44,rbf,lightgbm,1.6965396500554313,0.9850157499313354,2.878246784210205,0.931122366179336,4.788679799996316
44,rbf,cnn_lstm_maskaware,7.131668985212959,4.799079895019531,50.86070251464844,-0.21711759067788883,167.36681939999107
45,rbf,persistence,1.4652462012256844,1.058282494544983,2.146946430206299,0.9258777083348211,8.430000161752105e-05
45,rbf,lasso,1.2505591095777326,0.8996274471282959,1.5638980865478516,0.9460071703068905,8.411973400012357
45,rbf,lightgbm,1.391765384066213,0.9888594150543213,1.9370108842849731,0.9331256307726563,7.833494399994379
45,rbf,cnn_lstm_maskaware,6.312092380771108,4.743210792541504,39.84251022338867,-0.3755434697989477,32.757932900014566
46,rbf,persistence,1.5024168888406224,1.0911445617675781,2.257256507873535,0.9339031220399029,4.119999357499182e-05
